Date;Heures;Consommation;Prévision J-1;Prévision J;Fioul;Charbon;Gaz;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies;Ech. physiques;Taux de Co2
2020-01-01;00:00;67068;68000;65800;300;14;6515;49226;3748;0;9084;-88;1185;-2916;40
2020-01-01;00:15;;67300;65300;;;;;;;;;;;
2020-01-01;00:30;66103;66600;64800;107;13;6692;49436;3627;0;9586;-84;1194;-4467;39
2020-01-01;00:45;;65750;64000;;;;;;;;;;;
2020-01-01;01:00;63943;64900;63200;106;13;6257;48970;3203;0;9133;-39;1188;-4889;37
2020-01-01;01:15;;65200;63500;;;;;;;;;;;
2020-01-01;01:30;63904;65500;63800;107;14;5630;49648;2981;0;9124;-50;1187;-4736;34
2020-01-01;01:45;;65450;63550;;;;;;;;;;;
2020-01-01;02:00;63408;65400;63300;107;14;5337;49764;2799;0;8699;-45;1198;-4464;33
2020-01-01;02:15;;64700;62450;;;;;;;;;;;
2020-01-01;02:30;62711;64000;61600;107;15;4495;49747;2763;0;8212;-59;1184;-3751;29
2020-01-01;02:45;;63000;60650;;;;;;;;;;;
2020-01-01;03:00;60825;62000;59700;107;14;3660;49527;2810;0;7658;-678;1185;-3457;26
2020-01-01;03:15;;61250;59000;;;;;;;;;;;
2020-01-01;03:30;59332;60500;58300;107;14;2942;49887;2822;0;7335;-865;1194;-4104;22
2020-01-01;03:45;;59800;57700;;;;;;;;;;;
2020-01-01;04:00;58004;59100;57100;107;13;2942;49299;2752;0;7021;-1333;1201;-3998;23
2020-01-01;04:15;;58650;56650;;;;;;;;;;;
2020-01-01;04:30;57125;58200;56200;107;14;2963;49714;2746;0;6606;-2540;1198;-3682;23
2020-01-01;04:45;;57950;56100;;;;;;;;;;;
2020-01-01;05:00;56432;57700;56000;107;14;2947;49455;2733;0;6620;-3015;1191;-3621;23
2020-01-01;05:15;;57750;55900;;;;;;;;;;;
2020-01-01;05:30;56707;57800;55800;107;14;2956;49678;2654;0;6582;-3423;1185;-3046;24
2020-01-01;05:45;;57800;55650;;;;;;;;;;;
2020-01-01;06:00;56455;57800;55500;108;14;2961;49686;2530;0;6543;-3420;1186;-3151;24
2020-01-01;06:15;;57900;55850;;;;;;;;;;;
2020-01-01;06:30;56894;58000;56200;108;14;2970;49742;2387;0;6520;-2991;1177;-3031;24
2020-01-01;06:45;;57950;56150;;;;;;;;;;;
2020-01-01;07:00;56722;57900;56100;107;15;2977;49762;2215;0;6425;-2976;1179;-2981;24
2020-01-01;07:15;;58000;56250;;;;;;;;;;;
